company_name,ticker,calendardate,pe,pb,fcf,stock_return
"Agilent Technologies, Inc.",A,12/31/2012,10.876,2.42,1034000000,-2.913407068
"Agilent Technologies, Inc.",A,12/31/2013,22.876,3.177,959000000,41.83917755
"Agilent Technologies, Inc.",A,12/31/2014,33.582,3.478,540000000,9.80464933
"Agilent Technologies, Inc.",A,12/31/2015,31.206,3.003,426000000,-30.69319826
"Agilent Technologies, Inc.",A,12/31/2016,30.592,3.331,654000000,57.88665254
"Agilent Technologies, Inc.",A,12/31/2017,32.009,4.532,713000000,57.23954556
"Apple Inc.",AAPL,12/31/2012,14.985,5.29,41454000000,65.66338972
"Apple Inc.",AAPL,12/31/2013,11.842,3.55,44590000000,-25.49885101
"Apple Inc.",AAPL,12/31/2014,15.269,5.408,49900000000,51.67310481
"Apple Inc.",AAPL,12/31/2015,12.252,5.481,69778000000,19.6128139
"Apple Inc.",AAPL,12/31/2016,13.293,4.736,52276000000,5.179496121
"Apple Inc.",AAPL,12/31/2017,16.464,5.939,50803000000,45.97402183
"Advanced Micro Devices, Inc.",AMD,12/31/2012,-1.372,3.017,-471000000,-57.77777778
"Advanced Micro Devices, Inc.",AMD,12/31/2013,-32.958,5.029,6000000,65.78947368
"Advanced Micro Devices, Inc.",AMD,12/31/2014,-5.098,10.987,-193000000,-29.89417989
"Advanced Micro Devices, Inc.",AMD,12/31/2015,-3.496,-5.6,-314000000,10.18867925
"Advanced Micro Devices, Inc.",AMD,12/31/2016,-21.148,25.266,13000000,288.3561644
"Advanced Micro Devices, Inc.",AMD,12/31/2017,230.654,16.641,-45000000,-9.347442681
"ArQule, Inc.",ARQL,12/31/2012,-15.998,2.147,-34321000,-50.53191489
"ArQule, Inc.",ARQL,12/31/2013,-5.48,2.224,-33680000,-22.9390681
"ArQule, Inc.",ARQL,12/31/2014,-3.274,1.889,-31282000,-43.25581395
"ArQule, Inc.",ARQL,12/31/2015,-9.908,4.677,-22177000,77.86885246
"ArQule, Inc.",ARQL,12/31/2016,-3.944,3.784,-22952000,-41.93548387
"AngloGold Ashanti Limited",AU,12/31/2012,13.368,2.191,1576000000,-23.97111896
"AngloGold Ashanti Limited",AU,12/31/2013,-2.042,1.459,852000000,-59.42065668
"AngloGold Ashanti Limited",AU,12/31/2014,-89.817,1.231,1230000000,-17.15238908
"AngloGold Ashanti Limited",AU,12/31/2015,-40.978,1.18,1151000000,-6.784597701
"AngloGold Ashanti Limited",AU,12/31/2016,53.242,1.569,1213000000,62.24985915
"AngloGold Ashanti Limited",AU,12/31/2017,-24.326,1.562,1002000000,7.532254995
"BHP Billiton Limited",BHP,12/31/2012,13.554,3.184,5919000000,-26.74820881
"BHP Billiton Limited",BHP,12/31/2013,16.501,2.621,1029000000,-2.014441041
"BHP Billiton Limited",BHP,12/31/2014,15.894,2.778,9852000000,33.71812348
"BHP Billiton Limited",BHP,12/31/2015,68.454,2.019,7203000000,-24.25831994
"BHP Billiton Limited",BHP,12/31/2016,-14.366,1.69,3344000000,1.365708671
"BHP Billiton Limited",BHP,12/31/2017,19.406,1.996,12196000000,72.84201681
"Bridgeline Digital, Inc.",BLIN,12/31/2012,-19.286,0.794,-1210000,125.5639098
"Bridgeline Digital, Inc.",BLIN,12/31/2013,-5.403,0.855,-1436000,-8.333333333
"Bridgeline Digital, Inc.",BLIN,12/31/2014,-2.29,0.714,-4316000,-40.90909091
"Bridgeline Digital, Inc.",BLIN,12/31/2015,-0.321,0.955,-2950000,-62.46153846
"Bridgeline Digital, Inc.",BLIN,12/31/2016,-1.853,1.282,-2847000,-35.24590164
"Bridgeline Digital, Inc.",BLIN,12/31/2017,-6.403,1.069,-1033000,-27.34177215
"B.O.S. Better Online Solutions Ltd.",BOSC,12/31/2012,-9.176,1.596,1653000,12.77819455
"B.O.S. Better Online Solutions Ltd.",BOSC,12/31/2013,0,2.371,1272000,71.84035477
"B.O.S. Better Online Solutions Ltd.",BOSC,12/31/2014,-9.183,0.751,1052000,-59.22580645
"B.O.S. Better Online Solutions Ltd.",BOSC,12/31/2015,10.525,0.54,304000,-38.29113924
"B.O.S. Better Online Solutions Ltd.",BOSC,12/31/2016,12.91,0.541,-485000,8.717948718
"B.O.S. Better Online Solutions Ltd.",BOSC,12/31/2017,8.316,0.629,40000,3.301886792
"BP p.l.c.",BP,12/31/2012,11.954,1.111,7249000000,6.00276088
"BP p.l.c.",BP,12/31/2013,6.611,1.199,14695000000,30.79498079
"BP p.l.c.",BP,12/31/2014,34.333,1.165,12028000000,-4.755502983
"BP p.l.c.",BP,12/31/2015,-16.08,1.072,-3000000,9.772743966
"BP p.l.c.",BP,12/31/2016,1089.393,1.315,-5389000000,61.09305822
"BP p.l.c.",BP,12/31/2017,43.51,1.497,4027000000,53.56714821
"Chevron Corporation",CVX,12/31/2012,8.085,1.55,7874000000,7.787669173
"Chevron Corporation",CVX,12/31/2013,11.213,1.611,-2983000000,25.14175143
"Chevron Corporation",CVX,12/31/2014,11.022,1.368,-3932000000,1.562028661
"Chevron Corporation",CVX,12/31/2015,36.91,1.109,-10048000000,-2.871091104
"Chevron Corporation",CVX,12/31/2016,-447.063,1.526,-5263000000,56.66564028
